Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
MCB01716	Bearing, Rotary, Angular Contact, English, 1X, 10 x 11 x 0.5, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499128	10	CMPv2 Rotary	5
MCB01714	Bearing, Rotary, Angular Contact, English, 1X, 7 x 7.75 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	506197	10	CMPv2 Rotary	4
MCB01711	Bearing, Rotary, Angular Contact, English, 1X, 4.5 x 5.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	506190	10	CMPv2 Rotary	2
MCB01713	Bearing, Rotary, Angular Contact, English, 1X, 6.5 x 7.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	506196	10	CMPv2 Rotary	4
MCB01712	Bearing, Rotary, Angular Contact, English, 1X, 5 x 5.75 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	506194	10	CMPv2 Rotary	3
MCB01711	Bearing, Rotary, Angular Contact, English, 1X, 4.5 x 5.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499123	10	CMPv2 Rotary	5
EFO01046-30	Stage Cable, MPS Series, DC Motor, Length = 30 dm	519657	30	CMPv2 Crossed-Roller Linear	3
MCA01954-2300	GLASS SCALE MTG 3/16 X 1 X 23	521277	10	CMPv2 Crossed-Roller Linear	1
EFO01046-30	Stage Cable, MPS Series, DC Motor, Length = 30 dm	521951	30	CMPv2 Crossed-Roller Linear	1
EFO01046-30	Stage Cable, MPS Series, DC Motor, Length = 30 dm	521225	30	CMPv2 Crossed-Roller Linear	2
EAM01454-01-01	LAMINATED SHIM, MATTE SILVER	515903	10	CMPv2 Direct-Drive Linear	2569
EAM01454-01-01	LAMINATED SHIM, MATTE SILVER	516214	10	CMPv2 Direct-Drive Linear	215
MFE04127	MOTOR AEROTECH 48MM GALVO, AGVXPO-E1	509405	10	CMPv2 Galvo Motors	1
MFE04104	MOTOR AEROTECH 48MM GALVO	503134	10	CMPv2 Galvo Motors	2
LSO01040-04	10MM Y GALVO MIRROR, 343NM DIELECTRIC COATED BERYLLIUM	516132	10	CMPv2 Galvo Systems	1
LSO01043-18	14MM X GALVO MIRROR, 257NM DIELECTRIC COATED BERYLLIUM	516134	10	CMPv2 Galvo Systems	1
LSO01043-19	14MM X GALVO MIRROR, 266NM DIELECTRIC COATED BERYLLIUM	516135	10	CMPv2 Galvo Systems	1
LSO01043-09	14MM X GALVO MIRROR, 1030NM/515NM DIELECTRIC COATED BERYLLIUM	516126	10	CMPv2 Galvo Systems	2
LSO01043-03	14MM X GALVO MIRROR, 515NM DIELECTRIC COATED BERYLLIUM	516124	10	CMPv2 Galvo Systems	3
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	522391	10	CMPv2 Galvo Systems	22
LSO01044-18	14MM Y GALVO MIRROR, 257NM DIELETRIC COATED BERYLLIUM	516136	10	CMPv2 Galvo Systems	1
LSO01047-03	20MM X GALVO MIRROR, 515NM DIELECTRIC COATED BERYLLIUM	516120	10	CMPv2 Galvo Systems	4
LSO01173-ES19888	Flat Mirror, 2" OD x 1/8" Thick, L/4 Flatness, Protected Gold Coating, Inspected for ES19888-0X	520204	10	CMPv2 Galvo Systems	15
LSO01043-02	14MM X GALVO MIRROR, 1030NM DIELECTRIC COATED BERYLLIUM	516119	10	CMPv2 Galvo Systems	4
LSO01043-17	14MM X GALVO MIRROR, 257NM DIELECTRIC COATED BERYLLIUM	516133	10	CMPv2 Galvo Systems	1
LSO01039-02	10MM X GALVO MIRROR, 1030NM DIELECTRIC COATED BERYLLIUM	516122	10	CMPv2 Galvo Systems	3
