Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	503329	10	CMPv2 Laser Mark IFOV	1
MFB03550-01	LASER MARKED COVER, STAGE BULKHEAD, PLANAR DLA, PAINTED	506135	10	CMPv2 Laser Mark IFOV	4
MFB02826	HOUSING COVER, CUSTOM 25 PIN CONNECTOR, PMT SERIES	496659	50	CMPv2 Laser Mark IFOV	10
EFZ01755-01-03	XSP3-30 LABEL SILVER BRUSHED PLASTIC	494065	10	CMPv2 Laser Mark IFOV	20
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	485609	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	488544	10	CMPv2 Laser Mark IFOV	1
MFB03553-01-ES18837	CARRIAGE, PRO165LM, CUSTOM TRAVEL, BHC	508265	40	CMPv2 Laser Mark IFOV	16
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	476493	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	488551	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	488554	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	501134	10	CMPv2 Laser Mark IFOV	1
MFB18001-03	Obsolete, Use MFB18021-XX (BASE, ANT180-260-L, BLACK ANODIZE)	492918	50	CMPv2 Laser Mark IFOV	3
MFB32922-04-01	Base, Black Anodize w/ LaserMark, ANT130L/XY-160 (Gen-II)	498358	50	CMPv2 Laser Mark IFOV	8
MFR00132	HOUSING, ANT95R, BLACK HARDCOAT	496100	60	CMPv2 Laser Mark IFOV	8
EFZ01755-01-08	QSL3e-500 LABEL SILVER BRUSHED PLASTIC	504613	10	CMPv2 Laser Mark IFOV	25
MCA00055-01	CMS Cover, PlanarDL-200XY, Gen 2, Paint & LaserMark	514037	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	488543	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	505847	10	CMPv2 Laser Mark IFOV	2
MFR00130	TABLETOP, ANT95-R, BLACK HARDCOAT	486763	20	CMPv2 Laser Mark IFOV	7
MFB03753-01	FRONT END PLATE MOD, PRO280LM-1500, ANGLED HC MTG, BAN	502744	30	CMPv2 Laser Mark IFOV	2
MFB18001-04	Obsolete, Use MFB18021-XX (BASE, ANT180-350-L, BLACK ANODIZE)	497544	50	CMPv2 Laser Mark IFOV	1
EFZ01755-01-02	XSP3-20 LABEL SILVER BRUSHED PLASTIC	492146	10	CMPv2 Laser Mark IFOV	20
MFB32922-04-01	Base, Black Anodize w/ LaserMark, ANT130L/XY-160 (Gen-II)	519452	50	CMPv2 Laser Mark IFOV	8
MCA00055-01	CMS Cover, PlanarDL-200XY, Gen 2, Paint & LaserMark	504715	10	CMPv2 Laser Mark IFOV	1
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	507186	10	CMPv2 Laser Mark IFOV	1
MFB32914-01	Carriage Counterbalance Bracket, Black Anodize w/ LaserMark, ANT95LZS-100 (Gen-II)	496882	50	CMPv2 Laser Mark IFOV	4
MFF00001	Laser Marked SS Label, 55 mm x 12 mm, Logo	521979	10	CMPv2 Laser Mark IFOV	1
Legacy-AGV14	AGV14HP-BE2-W8-TAS	349495	10	CMP-Galvo Systems	2
MFB05159-08	Mirror Mount Assembly, AGV-HPO, 10mm Y Mirror, Silicon Slab, 1030nm/515nm/343nm Dielectric Coated	495942	10	CMPv2 Galvo Systems	1
MFB32899-01	Middle Carriage, Black Anodize w/ LaserMark, ANT95XY-025 (Gen-II)	482618	50	CMPv2 Laser Mark IFOV	5
MFR00155-ES19994	Housing, ABRX150, Slip Ring, 2X 25D customer connectors, Black Hardcoat	508242	60	CMPv2 Laser Mark IFOV	3
MFR02088	Logo Plate, LaserTurn160, Black Anodize, Lasermarked	491993	10	CMPv2 Laser Mark IFOV	2
AerotechPart	Laser-Marked Marketing Tags	499613	10	CMPv2 Laser Mark IFOV	1
MFB02484	SHIPPING BRKT, ABL1500WB	498064	40	CMPv2 Laser Mark IFOV	7
MFB02463	SHIPPING BRKT, ABL1500	490287	40	CMPv2 Laser Mark IFOV	12
MFB02817-01	FRONT END PLATE, PRO225LM, BLACK ANODIZED	513377	40	CMPv2 Laser Mark IFOV	13
MFB02484	SHIPPING BRKT, ABL1500WB	495892	40	CMPv2 Laser Mark IFOV	7
MFB02817-01	FRONT END PLATE, PRO225LM, BLACK ANODIZED	497352	40	CMPv2 Laser Mark IFOV	14
MFB02817-01	FRONT END PLATE, PRO225LM, BLACK ANODIZED	502568	40	CMPv2 Laser Mark IFOV	8
MFE04104	MOTOR AEROTECH 48MM GALVO	520173	10	CMP-Galvo Systems	1
MFR25106-01-ES20066	Cover, Housing, ADRS150, Larger	503040	50	CMPv2 Laser Mark IFOV	1
